code,name,product_family,source_confidence,index_name_candidates,methodology_probe,source_url,next_action
153270,KIWOOM 코스피100,domestic_broad_market,medium,KOSPI 100,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
069500,KODEX 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
226980,KODEX 200 중소형,domestic_broad_market,medium,KOSPI Small Cap,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
337160,KODEX 200ESG,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
278530,KODEX 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
337150,KODEX 200exTOP,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
223190,KODEX 200가치저변동,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
252650,KODEX 200동일가중,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
360140,KODEX 200롱코스닥150숏선물,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
284430,KODEX 200미국채혼합,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
252670,KODEX 200선물인버스2X,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
494890,KODEX 200액티브,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
498400,KODEX 200타겟위클리커버드콜,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
292190,KODEX KRX300,domestic_broad_market,medium,KRX 300,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
