code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
267450,RISE 미국장기국채선물인버스(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0036Z0,RISE 미국천연가스밸류체인,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
491620,RISE 미국테크100데일리고정커버드콜,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0036R0,RISE 미국휴머노이드로봇,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0000Z0,RISE 바이오TOP10액티브,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
446700,RISE 배터리 리사이클링,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
475350,RISE 버크셔포트폴리오TOP10,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
388420,RISE 비메모리반도체액티브,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
448630,RISE 삼성그룹Top3채권혼합,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0192M0,RISE 삼성전자단일종목레버리지,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
367770,RISE 수소경제테마,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
140570,RISE 수출주,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0093B0,RISE 엔비디아고정테크100,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
140580,RISE 우량업종대표주,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
379790,RISE 유로스탁스50(H),foreign_or_global,,,stoxx,methodology_provider,medium,build_stoxx_methodology_probe
498610,RISE 인도디지털성장,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
488480,RISE 일본섹터TOP4Plus,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
385540,RISE 종합채권(A-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
