code,name,is_domestic_sector,classification_reason,product_family,coverage_provider,provider_status,expansion_lane,next_action
0193W0,KODEX 삼성전자단일종목레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
448330,KODEX 삼성전자채권혼합,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
325010,KODEX 성장주,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
385510,KODEX 신재생에너지액티브,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
446690,KODEX 아시아AI반도체exChina액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
437070,KODEX 아시아달러채권ESG플러스액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
117460,KODEX 에너지화학,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
275300,KODEX 우량주,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
140710,KODEX 운송,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
0098F0,KODEX 원자력SMR,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
395150,KODEX 웹툰&드라마,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
456250,KODEX 유럽명품TOP10 STOXX,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
400570,KODEX 유럽탄소배출권선물ICE(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
144600,KODEX 은선물(H),False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
091170,KODEX 은행,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
453810,KODEX 인도Nifty50,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
453820,KODEX 인도Nifty50레버리지(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0000H0,KODEX 인도Nifty미드캡100,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
477730,KODEX 인도타타그룹,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
114800,KODEX 인버스,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
101280,KODEX 일본TOPIX100,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
352540,KODEX 일본부동산리츠(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
091180,KODEX 자동차,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
385520,KODEX 자율주행액티브,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
363570,KODEX 장기종합채권(AA-이상)액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0115D0,KODEX 조선TOP10,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
273130,KODEX 종합채권(AA-이상)액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0153K0,KODEX 주주환원고배당주,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
102970,KODEX 증권,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
419430,KODEX 차이나2차전지MSCI(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
169950,KODEX 차이나A50,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0162L0,KODEX 차이나AI반도체TOP10,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
428510,KODEX 차이나AI테크액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
283580,KODEX 차이나CSI300,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
099140,KODEX 차이나H,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
204450,KODEX 차이나H레버리지(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
415340,KODEX 차이나과창판STAR50(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
256750,KODEX 차이나심천ChiNext(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0065G0,KODEX 차이나테크TOP10,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
372330,KODEX 차이나항셍테크,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0048K0,KODEX 차이나휴머노이드로봇,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
117680,KODEX 철강,True,domestic_sector_keyword,domestic_sector,fnguide,not_found,fnguide_reference,resolve_fnguide_methodology_gap
279540,KODEX 최소변동성,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
445150,KODEX 친환경조선해운액티브,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
