code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
0001P0,마이티 바이오시밀러&CDMO액티브,FnGuide Bio Similar & CDMO Index,available,etfs\output\methodologies\0001P0_eb4704aff5f2.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
174350,TIGER 로우볼,,missing,,unknown,unknown,,unknown,blocked_missing_pdf,find_fnguide_methodology_pdf,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
0120J0,BNK 카카오그룹포커스,FnGuide KAKAO Group Focus Index,available,etfs\output\methodologies\0120J0_b095ae95789b.pdf,sector_theme,unknown,"2,3,6,8,9,12",market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395750,PLUS ESG가치주액티브,FnGuide ESGM ESG 지수,available,etfs\output\methodologies\395750_c2380f5c88ae.pdf,dividend,annual,5,market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|month_end_business_day_calendar|ranking_inputs|stock_prices|trading_value_liquidity
281990,RISE 중소형고배당,FnGuide K High Dividend Index,available,etfs\output\methodologies\281990_99b6b7ae10f9.pdf,dividend,semiannual,"6,12",custom_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395150,KODEX 웹툰&드라마,FnGuide Webtoon and Drama Index,available,etfs\output\methodologies\395150_dabfddc86a6d.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
402460,HANARO Fn K-메타버스MZ,FnGuide K-Metaverse MZ Index,available,etfs\output\methodologies\402460_7942b9107d76.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
270800,RISE KQ고배당,FnGuide KQ High Dividend Focus Index,available,etfs\output\methodologies\270800_facff45e9403.pdf,dividend,semiannual,"4,5",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395280,HANARO Fn K-게임,FnGuide K-Game Index,available,etfs\output\methodologies\395280_61f80a798567.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
253280,RISE 헬스케어,FnGuide Healthcare Index,available,etfs\output\methodologies\253280_9855e57bcb28.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
