code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
0026S0,1Q 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0052S0,1Q 미국S&P500미국채혼합50액티브,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
360200,ACE 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
438080,ACE 미국S&P500미국채혼합50액티브,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
354350,HANARO 글로벌럭셔리S&P(합성),foreign_or_global,medium,S&P Global Luxury,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-thematic-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
432840,HANARO 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
215620,HK S&P코리아로우볼,foreign_or_global,medium,S&P Korea Low Volatility,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-500-low-volatility-index.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
483570,KCGI 미국S&P500 TOP10,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
449770,KIWOOM 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0137W0,KIWOOM 미국S&P500&GOLD,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
